id,username,nome_completo,bio,cargo,sexo,raca,estado,partido,ideologia,seguidores,status_monitoramento,atualizado_em,ultima_pesquisa_id
2e84b20e-fb7b-4707-9f94-3be692ae7a7a,robinsonfariasoficial,Robinson Farias,null,Pré-candidato,null,null,AP,null,null,0,Ativo,2026-05-01 19:54:33.646642+00,null
2fa7c394-5a64-40a0-afb8-5978be4e83c2,waldezgoesoficial,Waldez Góes,null,Pré-candidato,null,null,AP,null,null,78795,Ativo,2026-05-01 19:53:38.467022+00,null
d69f940c-f08a-4183-9cbe-e2feab3cb668,tabataamaralsp,Tabata Amaral,null,Deputado Federal,null,null,SP,null,null,2136587,Ativo,2026-05-01 19:52:22.443959+00,null
adf7f050-cc17-41af-b5cc-5da50d1cda93,papaleopaesoficial,Papaléo Paes,null,Vice-Governador,null,null,AP,null,null,0,Ativo,2026-05-01 19:52:03.412655+00,null
af179f9c-c9dd-4539-a1ef-19d5a75afc22,talescastroap,Tales Castro,null,Governador,null,null,AP,null,null,0,Ativo,2026-05-01 19:50:48.21437+00,null
6916a0ea-4145-4ef9-9827-b12c7c438efb,mauricioquintellaoficial,Mauricio Quintella Lessa,null,Pré-candidato,null,null,AL,null,null,0,Ativo,2026-05-01 19:50:29.309071+00,null
76d93d10-3d9e-4df6-af75-fea6b9316144,simonetebet,Simone Tebet,null,Senador,null,null,MS,null,null,1627531,Ativo,2026-05-01 19:50:10.196596+00,null
de439145-05d3-4e5c-948a-5505dd980e6e,coronelbrilhantern,Tenente Coronel Brilhante,null,Influenciador Político,null,null,RN,null,null,86642,Ativo,2026-05-01 19:49:51.233612+00,null
21ce30ef-bc7d-4f5a-9c1e-edfa810a0458,generalpazuello.oficial,General Pazuello,null,Institucional,null,null,BR,null,null,513744,Ativo,2026-05-01 19:49:32.184361+00,null
8b5475af-9316-4ed2-b51c-190de3dfdb7e,pastorhenriquevieira,Henrique Vieira,null,Influenciador Político,null,null,RJ,null,null,1407069,Ativo,2026-05-01 19:49:13.235542+00,null
b6224a10-128c-441f-a5ec-363142b3b5b7,lucianobarbosaoficial,Luciano Barbosa,null,Pré-candidato,null,null,AL,null,null,47,Ativo,2026-05-01 19:48:54.254786+00,null
d884b722-6c94-4f2e-9727-c9b1d750736c,danilocabraloficial,Danilo Cabral,null,Pré-candidato,null,null,AL,null,null,0,Ativo,2026-05-01 19:48:35.154803+00,null
